original_index,problem,answer,topic,answer_type,multi_step,requires_reasoning,urls,kb_file
448,What years was Antonio de Padua María Severino López de Santa Anna y Pérez de Lebrón vice president?,1837 to 1839,Politics,Date,False,False,"https://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna,https://pantheon.world/profile/person/Antonio_L%C3%B3pez_de_Santa_Anna,https://www.geni.com/people/Antonio-L%C3%B3pez-de-Santa-Anna/6000000092355998834",verified_0104.txt
744,What is the maximum depth of the Mediterranean Sea in meters?,5109 m (acceptable range: anything between 5057 and 5161 m),Geography,Number,False,False,"https://blitztest.com/geography/seas/mediterranean-sea,https://en.wikipedia.org/wiki/Calypso_Deep,https://en.wikipedia.org/wiki/Mediterranean_Sea",verified_0164.txt
1653,What is the name of the world's first solid titanium watch?,Citizen X8 Titanium Chronometer,Science and technology,Other,False,False,"https://www.citizenwatch.com/us/en/technology-super-titanium.html,https://www.citizenwatch-global.com/technologies/super-titanium/index.html,https://www.horbiter.com/en/first-ever-titanium-watch-is-a-citizen/,https://monochrome-watches.com/first-titanium-watch-1970-citizen-50th-anniversary-titanium-technology-in-depth/",verified_0368.txt
2030,What was the full name of the first Prime Minister of the Democratic Republic of the Congo?,Patrice Émery Lumumba,Politics,Person,False,False,"https://en.wikipedia.org/wiki/Patrice_Lumumba,https://www.sahistory.org.za/people/patrice-emery-lumumba",verified_0465.txt
2619,What are the notes of the bebop scale in Key A major?,"A, B, C♯, D, E, F (or E♯), F♯, G♯",Music,Other,False,False,"https://www.pianoscales.org/bebop.html,https://esvc006636.swp0002ssl.server-secure.com/scales/scabebop.htm,https://muted.io/major-bebop-scale/,https://pianowithjonny.com/piano-lessons/the-ultimate-guide-to-bebop-scales/",verified_0592.txt
2658,"On what date, month, and year was the Indian politician T. M. Selvaganapathy acquitted by the High Court in connection to the Pleasant Stay hotel case?",4 December 2001,Politics,Date,False,False,"https://en.wikipedia.org/wiki/T._M._Selvaganapathy,https://dbpedia.org/page/Pleasant_Stay_hotel_case,https://en.wikipedia.org/wiki/Pleasant_Stay_hotel_case",verified_0604.txt
2923,In what year was Glipodes dietrichi described by Franciscolo?,1962,Science and technology,Date,False,False,"https://en.wikipedia.org/wiki/Glipodes_dietrichi,https://en.wikipedia.org/wiki/Glipodes,https://www.gbif.org/species/7003367",verified_0666.txt
3555,Where was the first B.A.S.S. Bassmaster Tournament held?,Lake Mead,Sports,Place,False,False,"https://en.wikipedia.org/wiki/Bassmaster_Classic,https://www.espn.com/outdoors/bassmaster/about/news/story?page=bass_history,https://www.bassmaster.com/50th-anniversary-of-b-a-s-s/news/b-a-s-s-historical-timeline/",verified_0827.txt
3564,Which U.S. president was the last one to be born in the 18th century?,James Buchanan,Politics,Person,False,False,"https://en.wikipedia.org/wiki/James_Buchanan,https://millercenter.org/president/buchanan/life-before-the-presidency,https://www.loriferber.com/research/presidential-facts-statistics/presidential-birthdates.html",verified_0829.txt
4251,What is the signature frequency of a healthy human body in MHz according to Heidi Yellen in 2003?,100 MHz (acceptable range: anything between 99 and 101 MHz),Science and technology,Number,False,False,"https://modernsaintliving.com/2022/02/17/wool-linen-energetic-incompatibility/,https://empoweredsustenance.com/frequency-of-fabric/,https://www.farawear.ca/blog-2-1/blog-frequency-fabric",verified_0987.txt
