question_id,question,target_answer,failed_providers,failure_count,runs_failed,category
simpleqa_0072,Which one of the 1990 Fly Girls from the series In Living Color stayed for five seasons?,Deidre Lang,OpenAI_RAG,1,1,openai_rag_failure
simpleqa_0075,"What were the month, day, and year when the construction of the UN headquarters in New York City was completed?","October 9, 1952",CustomGPT|OpenAI_RAG,2,3,shared_customgpt_openai
simpleqa_0079,"What's the month, day, and year of the online publication of the paper ""Articulatory constraints on stop insertion and elision in consonant clusters""?","5th September, 2011",CustomGPT,1,1,customgpt_failure
simpleqa_0082,What is the maximum depth of the Mediterranean Sea in meters?,5109 m (acceptable range: anything between 5057 and 5161 m),Google_Gemini_RAG|OpenAI_RAG,2,2,openai_rag_failure
simpleqa_0083,In what year was Glipodes dietrichi described by Franciscolo?,1962,OpenAI_RAG,1,2,openai_rag_failure
simpleqa_0084,How old was Olga Kharlan when she joined the Ukrainian National Olympic team?,14.,CustomGPT,1,1,customgpt_failure
simpleqa_0088,Where was the first B.A.S.S. Bassmaster Tournament held?,Lake Mead,Google_Gemini_RAG,1,1,other
simpleqa_0090,Which hotel was awarded World's Leading Adventure Hotel 2022?,Pikaia Lodge,OpenAI_RAG,1,2,openai_rag_failure
simpleqa_0091,What year did Seiko release their first 300m diver watch?,1968,CustomGPT|OpenAI_RAG,2,2,shared_customgpt_openai
simpleqa_0092,In which specific issue did Black Condor II perish?,Infinite Crisis #1,CustomGPT,1,1,customgpt_failure
simpleqa_0096,Who was the first principal of Mayo College in India?,Colonel Sir Oliver St John,OpenAI_RAG,1,1,openai_rag_failure
simpleqa_0099,"On what date, month, and year was the Indian politician T. M. Selvaganapathy acquitted by the High Court in connection to the Pleasant Stay hotel case?",4 December 2001,CustomGPT,1,2,customgpt_failure
simpleqa_0102,In which specific issue did Black Condor II perish?,Infinite Crisis #1,CustomGPT,1,1,customgpt_failure
simpleqa_0108,How old was Olga Kharlan when she joined the Ukrainian National Olympic team?,14.,CustomGPT,1,1,customgpt_failure
simpleqa_0110,How many inductees did the American Classical Music Hall of Fame have in 2005?,None.,OpenAI_RAG,1,1,openai_rag_failure
simpleqa_0128,Who was the first Deputy Chief Minister of Jammu and Kashmir?,Mirza Afzal Beg,CustomGPT,1,2,customgpt_failure
simpleqa_0130,What Serbian player played in the quarterfinals of the 2018 Madrid Open men's singles?,Dušan Lajović,CustomGPT|OpenAI_RAG,2,2,shared_customgpt_openai
simpleqa_0145,"In TWD Season 11, Episode 10, we learn that Connie got whose uncle kicked out of Congress before the apocalypse?",Pamela Milton's uncle,OpenAI_RAG,1,1,openai_rag_failure
simpleqa_0146,"As of 2022, in which years did the Pakistani team not participate in the FIH World Cup?",2014,CustomGPT|OpenAI_RAG,2,2,shared_customgpt_openai
simpleqa_0159,In what year did Etta Cone commission Henri Matisse to make a posthumous portrait of Claribel Cone?,1930,OpenAI_RAG,1,1,openai_rag_failure
simpleqa_0167,Who was the Guy Medal in Gold awarded to in 1973?,David Cox,CustomGPT,1,1,customgpt_failure
simpleqa_0168,What change did Patch 0.7 make to the spell Crusader Strike in the beta of World of Warcraft?,Damage increased and instant cast spell.,OpenAI_RAG,1,1,openai_rag_failure
simpleqa_0175,As of which month and year did StatCounter estimate that Chrome has a 65% worldwide browser market share (after peaking at 72.38% in November 2018) on personal computers?,April 2024,CustomGPT,1,2,customgpt_failure
